team_name,main_league,main_league_common_id,country,team_name_website,website,team_common_id
ascoli,Serie B,354,Italy,ascoli,PaddyPower,256
ternana,Serie B,354,Italy,ternana,PaddyPower,257
feralpisalo,Serie B,354,Italy,feralpisalo,PaddyPower,258
spezia,Serie B,354,Italy,spezia,PaddyPower,259
lecco,Serie B,354,Italy,lecco,PaddyPower,260
psv,Eredivisie,357,Netherlands,psv,PaddyPower,301
feyenoord,Eredivisie,357,Netherlands,feyenoord,PaddyPower,302
twente,Eredivisie,357,Netherlands,fc twente,PaddyPower,303
az alkmaar,Eredivisie,357,Netherlands,az alkmaar,PaddyPower,304
ajax,Eredivisie,357,Netherlands,ajax,PaddyPower,305
g.a. eagles,Eredivisie,357,Netherlands,go ahead eagles,PaddyPower,306
nijmegen,Eredivisie,357,Netherlands,nec nijmegen,PaddyPower,307
zwolle,Eredivisie,357,Netherlands,pec zwolle,PaddyPower,308
sparta rotterdam,Eredivisie,357,Netherlands,sparta rotterdam,PaddyPower,309
sittard,Eredivisie,357,Netherlands,fortuna sittard,PaddyPower,310
utrecht,Eredivisie,357,Netherlands,fc utrecht,PaddyPower,311
almere city,Eredivisie,357,Netherlands,almere city,PaddyPower,312
heerenveen,Eredivisie,357,Netherlands,heerenveen,PaddyPower,313
excelsior,Eredivisie,357,Netherlands,excelsior,PaddyPower,314
heracles,Eredivisie,357,Netherlands,heracles,PaddyPower,315
waalwijk,Eredivisie,357,Netherlands,rkc waalwijk,PaddyPower,316
fc volendam,Eredivisie,357,Netherlands,fc volendam,PaddyPower,317
vitesse,Eredivisie,357,Netherlands,vitesse,PaddyPower,318
willem ii,Eerste Divisie,358,Netherlands,willem ii,PaddyPower,319
den haag,Eerste Divisie,358,Netherlands,ado den haag,PaddyPower,320
roda,Eerste Divisie,358,Netherlands,roda jc,PaddyPower,321
de graafschap,Eerste Divisie,358,Netherlands,de graafschap,PaddyPower,322
dordrecht,Eerste Divisie,358,Netherlands,fc dordrecht,PaddyPower,323
groningen,Eerste Divisie,358,Netherlands,fc groningen,PaddyPower,324
venlo,Eerste Divisie,358,Netherlands,vvv venlo,PaddyPower,325
cambuur,Eerste Divisie,358,Netherlands,cambuur leeuwarden,PaddyPower,326
nac breda,Eerste Divisie,358,Netherlands,nac breda,PaddyPower,327
maastricht,Eerste Divisie,358,Netherlands,mvv maastricht,PaddyPower,328
jong az,Eerste Divisie,358,Netherlands,jong az alkmaar,PaddyPower,329
fc emmen,Eerste Divisie,358,Netherlands,emmen,PaddyPower,330
