team_name,main_league,main_league_common_id,country,team_name_website,website,team_common_id
real oviedo,La Liga 2,384,Spain,real oviedo,Bwin,409
levante,La Liga 2,384,Spain,levante ud,Bwin,410
zaragoza,La Liga 2,384,Spain,real zaragoza,Bwin,411
racing santander,La Liga 2,384,Spain,racing santander,Bwin,412
burgos cf,La Liga 2,384,Spain,burgos cf,Bwin,413
mirandes,La Liga 2,384,Spain,cd mirandes,Bwin,415
huesca,La Liga 2,384,Spain,sd huesca,Bwin,417
albacete,La Liga 2,384,Spain,albacete balompie,Bwin,418
fc cartagena sad,La Liga 2,384,Spain,fc cartagena,Bwin,419
villarreal b,La Liga 2,384,Spain,villarreal cf b,Bwin,420
alcorcon,La Liga 2,384,Spain,alcorcon ad,Bwin,421
andorra,La Liga 2,384,Spain,fc andorra,Bwin,422
amorebieta,La Liga 2,384,Spain,sd amorebieta,Bwin,423
