team_name,display_name,main_league,main_league_common_id,country
urawa reds,Urawa Reds,J1 League,355,Japan
sanfrecce hiroshima,Sanfrecce Hiroshima,J1 League,355,Japan
fc tokyo,FC Tokyo,J1 League,355,Japan
iwata,Iwata,J1 League,355,Japan
kashima antlers,Kashima Antlers,J1 League,355,Japan
gamba osaka,Gamba Osaka,J1 League,355,Japan
machida ,Machida,J1 League,355,Japan
kusatsu,Kusatsu,J2 League,356,Japan
kumamoto,Kumamoto,J2 League,356,Japan
mito,Mito,J2 League,356,Japan
tokushima,Tokushima,J2 League,356,Japan
kofu,Kofu,J2 League,356,Japan
vegalta sendai,Vegalta Sendai,J2 League,356,Japan
yokohama fc,Yokohame FC,J2 League,356,Japan
montedio yamagata,Montedio Yamagata,J2 League,356,Japan
ehime,Ehime,J2 League,356,Japan
shimizu s-pulse,Shimizu S-Pulse,J2 League,356,Japan
oita trinita,Oita Trinita,J2 League,356,Japan
chiba,Chiba,J2 League,356,Japan
tochigi sc,Tochigi SC,J2 League,356,Japan
okayama,Okayama,J2 League,356,Japan
blaublitz,Blaublitz,J2 League,356,Japan
v-varen nagasaki,V-Varen Nagasaki,J2 League,356,Japan
fujieda myfc,Fujieda MYFC,J2 League,356,Japan
kagoshima utd,Kagoshima Utd,J2 League,356,Japan
iwaki,Iwaki,J2 League,356,Japan
renofa yamaguchi,Renofa Yamaguchi,J2 League,356,Japan
psv,PSV,Eredivisie,357,Netherlands
feyenoord,Feyenoord,Eredivisie,357,Netherlands
twente,Twente,Eredivisie,357,Netherlands
az alkmaar,AZ Alkmaar,Eredivisie,357,Netherlands
ajax,Ajax,Eredivisie,357,Netherlands
g.a. eagles,G. A. Eagles,Eredivisie,357,Netherlands
nijmegen,Nijmegen,Eredivisie,357,Netherlands
zwolle,Zwolle,Eredivisie,357,Netherlands
sparta rotterdam,Sparta Rotterdam,Eredivisie,357,Netherlands
sittard,Sittard,Eredivisie,357,Netherlands
utrecht,Utrecht,Eredivisie,357,Netherlands
almere city,Almere City,Eredivisie,357,Netherlands
heerenveen,Heerenveen,Eredivisie,357,Netherlands
excelsior,Excelsior,Eredivisie,357,Netherlands
heracles,Heracles,Eredivisie,357,Netherlands
waalwijk,Waalwijk,Eredivisie,357,Netherlands
fc volendam,FC Volendam,Eredivisie,357,Netherlands
vitesse,Vitesse,Eredivisie,357,Netherlands
willem ii,Willem II,Eerste Divisie,358,Netherlands
den haag,Den Haag,Eerste Divisie,358,Netherlands
roda,Roda,Eerste Divisie,358,Netherlands
de graafschap,De Graafschap,Eerste Divisie,358,Netherlands
dordrecht,Dordrecht,Eerste Divisie,358,Netherlands
groningen,Groningen,Eerste Divisie,358,Netherlands
venlo,Venlo,Eerste Divisie,358,Netherlands
cambuur,Cambuur,Eerste Divisie,358,Netherlands
nac breda,NAC Breda,Eerste Divisie,358,Netherlands
maastricht,Maastricht,Eerste Divisie,358,Netherlands
jong az,Jong AZ,Eerste Divisie,358,Netherlands
fc emmen,FC Emmen,Eerste Divisie,358,Netherlands
eindhoven fc,Eindhoven FC,Eerste Divisie,358,Netherlands
helmond,Helmond,Eerste Divisie,358,Netherlands
jong ajax,Jong Ajax,Eerste Divisie,358,Netherlands
jong psv,Jong PSV,Eerste Divisie,358,Netherlands
jong utrecht,Jong Utrecht,Eerste Divisie,358,Netherlands
den bosch,Den Bosch,Eerste Divisie,358,Netherlands
oss,Oss,Eerste Divisie,358,Netherlands
telstar,Telstar,Eerste Divisie,358,Netherlands
benfica,Benfica,Liga Portugal,365,Portugal
sporting cp,Sporting CP,Liga Portugal,365,Portugal
fc porto,FC Porto,Liga Portugal,365,Portugal
braga,Braga,Liga Portugal,365,Portugal
vitoria guimaraes,Vitoria Guimaraes,Liga Portugal,365,Portugal
moreirense,Moreirense,Liga Portugal,365,Portugal
sc farense,SC Farense,Liga Portugal,365,Portugal
arouca,Arouca,Liga Portugal,365,Portugal
famalicao,Famalicao,Liga Portugal,365,Portugal
gil vicente,Gil Vicente,Liga Portugal,365,Portugal
boavista,Boavista,Liga Portugal,365,Portugal
portimonense,Portimonense,Liga Portugal,365,Portugal
estoril,Estoril,Liga Portugal,365,Portugal
casa pia,Casa Pia,Liga Portugal,365,Portugal
rio ave,Rio Ave,Liga Portugal,365,Portugal
estrela,Estrela,Liga Portugal,365,Portugal
chaves,Chaves,Liga Portugal,365,Portugal
vizela,Vizela,Liga Portugal,365,Portugal
daejeon,Daejeon,K League 1,381,South Korea
incheon,Incheon,K League 1,381,South Korea
pohang,Pohang,K League 1,381,South Korea
daegu,Daegu,K League 1,381,South Korea
seoul,Seoul,K League 1,381,South Korea
gimcheon sangmu,Gimcheon Sangmu,K League 1,381,South Korea
jeju utd,Jeju Utd,K League 1,381,South Korea
jeonbuk,Jeonbuk,K League 1,381,South Korea
ulsan hyundai,Ulsan Hyundai,K League 1,381,South Korea
gangwon,Gangwon,K League 1,381,South Korea
suwon fc,Suwon FC,K League 1,381,South Korea
gwangju fc,Gwangju FC,K League 1,381,South Korea
busan,Busan,K League 2,382,South Korea
suwon bluewings,Suwon Bluewings,K League 3,382,South Korea
jeonnam,Jeonnam,K League 4,382,South Korea
gyeongnam,Gyeongnam,K League 5,382,South Korea
seongnam,Seongnam,K League 6,382,South Korea
cheonan city,Cheonan City,K League 7,382,South Korea
